Text,Accident Cause
বাগেরহাটের রামপাল উপজেলায় ট্রাক ও মাহেন্দ্রের মুখোমুখি সংঘর্ষে তিনজন নিহত হয়েছেন। বৃহস্পতিবার (০২ মে ২০১৯) সকাল ৮টার দিকে খুলনা বাগেরহাট মহাসড়কের রামপাল উপজেলার মালিডাঙা চেয়ারম্যানের মোড় এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
লক্ষ্মীপুরের কমলনগরে সিএনজিচালিত অটোরিকশার ধাক্কায় আহত গৃহবধূ জান্নাত বেগমের (৩০) মৃত্যু হয়েছে। বুধবার (১ মে) ভোরে রাজধানীর একটি হাসপাতালে চিকিৎসাধীন অবস্থায় তার মৃত্যু হয়েছে। ,TRAFFIC
নড়াইলে পিকআপভ্যান চাপায় সমির বিশ্বাস (৩০) নামে এক মোটরসাইকেল আরোহী নিহত হয়েছেন। মঙ্গলবার (৩০ এপ্রিল ২০১৯) দুপুর ২টার দিকে কালনা-যশোর সড়কে কচুবাড়িয়া এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
সড়ক দুর্ঘটনায় প্রাণ গেল চেক প্রজাতন্ত্রের জাতীয় দলের ফুটবলার ইয়োসেফ সুরালের।,TRAFFIC
রাজধানীর মগবাজার রেলগেট এলাকায় ট্রেনের ধাক্কায় সাবিল হোসেন রিফাত (২৮) নামে মোটরসাইকেল আরোহীর নিহত হয়েছেন। রোববার (২৮ এপ্রিল ২০১৯) দিনগত রাত সাড়ে ১২টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
বরিশাল জেলার গৌরনদীতে কাভার্ড ভ্যানের চাপায় কাওসার বেপারী (২৫) নামে মোটরসাইকেল আরোহী নিহত হয়েছেন। রোববার(২৮ এপ্রিল ২০১৯) রাত সাড়ে ৯টার দিকে গৌরনদীর কটকস্থল এলাকায় এ দুর্ঘটনা ঘটে। ,TRAFFIC
লক্ষ্মীপুরের কমলনগরে সড়ক দুর্ঘটনা মো. মিলন নামে এক যুবক নিহত হয়েছেন। রোববার (২৮ এপ্রিল ২০১৯) দিনগত রাত সাড়ে ৯টার দিকে রামগতি-লক্ষ্মীপুর সড়কের কমলনগরের হাজিরহাট উপকূল কলেজের সামনে এ দুর্ঘটনা ঘটে।,TRAFFIC
চাঁদপুরের শাহরাস্তি উপজেলায় বাস ও অটারিকশার সংঘর্ষে এক নারী ও তার ছেলেসহ ছয়জনের প্রাণ গেছে; এ ঘটনায় আহত হয়েছেন অটোরিকশার চালক। চাঁদপুর-কুমিল্লা মহাসড়কে রোববার সকাল ১০টার দিকে এ দুর্ঘটনায় ঘটে।,TRAFFIC
নাটোরে বাসচাপায় বাদল মিয়া (৪০) নামে এক অটোভ্যান চালক নিহত হয়েছেন।রোববার (২৮ এপ্রিল ২০১৯) বেলা সোয়া ১১টার দিকে শহরের পিটিআই এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
লক্ষ্মীপুরে পিকআপ ভ্যানচাপায় ইয়াসিন আরাফাত (৮) নামে এক মাদ্রাসাছাত্র নিহত হয়েছে। রোববার (২৮ এপ্রিল ২০১৯) সকালে লক্ষ্মীপুর-মজুচৌধুরীর হাট সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
জয়পুরহাট সদর উপজেলা আউশগাড়া এলাকায় মেসি ট্রাক্টরের ধাক্কায় সাব্বির (২০) নামে এক কলেজছাত্র নিহত হয়েছেন। শনিবার (২৭ এপ্রিল ২০১৯) দুপুরের দিকে এ দুর্ঘটনা ঘটে। ,TRAFFIC
সিলেটে মহাসড়কে ব্যাটারিচালিত রিকশা চালাতে গিয়ে মোটরসাইকেলের ধাক্কায় প্রাণ হারিয়েছেন শাহবাজ মিয়া (১৮) নামে এক চালক। শনিবার (২৭ এপ্রিল ২০১৯) দুপুর পৌনে ২টার দিকে সিলেট-ঢাকা মহাসড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
সাতক্ষীরার আশাশুনি উপজেলায় মোটরসাইকেলের ধাক্কায় আব্দুল খালেক (৬০) নামে এক কৃষক নিহত হয়েছেন। শুক্রবার (২৬ এপ্রিল ২০১৯) দুপুরে সাতক্ষীরা-আশাশুনি সড়কের কুল্যার মোড়ে এ দুর্ঘটনা ঘটে। ,TRAFFIC
রাজধানীর শেরেবাংলা নগরে সড়ক দুর্ঘটনায় ফাহমিদা হক লাবণ্য (২১) নামে ব্র্যাক ইউনিভার্সিটির এক শিক্ষার্থী নিহত হয়েছেন। বৃহস্পতিবার (২৫ এপ্রিল ২০১৯) এ দুর্ঘটনা ঘটে। ,TRAFFIC
নওগাঁর রাণীনগরে ট্রাক্টরের নিচে চাপা পড়ে তাসতিয়া আক্তার (১৪) নামে এক স্কুলছাত্রীর মৃত্যু হয়েছে। বৃহস্পতিবার (২৫ এপ্রিল ২০১৯) বিকেলে এ দুর্ঘটনা ঘটে।,TRAFFIC
মাদারীপুরের শিবচরে ট্রাক্টরচাপায় ফারুক হোসেন নামে এক ব্যক্তির মৃত্যু হয়েছে। বুধবার (২৪ এপ্রিল ২০১৯) সন্ধ্যায় শিবচরের উমেদপুর ইউনিয়নের কুমেরপাড় এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজধানীর মোহাম্মদপুর বসিলা রোড এলাকায় ট্রাকের ধাক্কায় মোটরসাইকেলের এক আরোহীর মৃত্যু হয়েছে। বুধবার (২৪ এপ্রিল ২০১৯) রাত সাড়ে ৮টার দিকে এ দুর্ঘটনা ঘটে। ,TRAFFIC
ব্রাহ্মণবাড়িয়ার সরাইল উপজেলায় পাজেরো গাড়ির চাপায় দুই মোটরসাইকেল আরোহী নিহত হয়েছেন।,TRAFFIC
খুলনার রূপসা উপজেলায় ট্রাকচাপায় আব্দুর রহমান নামে এক স্কুলশিক্ষক নিহত হয়েছেন। মঙ্গলবার (২৩ এপ্রিল ২০১৯) বিকেল সাড়ে ৫ টার দিকে এ দুর্ঘটনা ঘটে। ,TRAFFIC
হাটহাজারীর মুহুরি হাটে অটোরিকশার ধাক্কায় আবদুস শুক্কুর নামে এক মোটরসাইকেল আরোহী নিহত হয়েছেন। মঙ্গলবার (২৩ এপ্রিল ২০১৯) দুপুরে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাহ্মণবাড়িয়া সদর উপজেলায় ব্যাটারিচালিত অটোরিকশার চাপায় তানহা নামে ছয় বছরের এক শিশু নিহত হয়েছে। মঙ্গলবার (২৩ এপ্রিল ২০১৯) দুপুরে এ দুর্ঘটনা ঘটে।,TRAFFIC
হবিগঞ্জের নবীগঞ্জে ট্রাকের ধাক্কায় অনিক দত্ত নামে এক মোটরসাইকেলের আরোহী নিহত হয়েছেন। মঙ্গলবার (২৩ এপ্রিল ২০১৯) বিকেলে এ দুর্ঘটনা ঘটে।,TRAFFIC
জয়পুরহাটের পাঁচবিবি উপজেলার কামারপট্টি এলাকায় বালুভর্তি ট্রলির ধাক্কায় ইজাবুল ইসলাম (৭০) নামে এক ভ্যানযাত্রী বৃদ্ধ নিহত হয়েছেন। মঙ্গলবার (২৩ এপ্রিল) বিকেলে পাঁচবিবি-হিলি সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
গাইবান্ধার সুন্দরগঞ্জ উপজেলায় ব্যাটারিচালিত একটি ইজিবাইকের ধাক্কায় শারমিন (৮) নামে এক শিশুর মৃত্যু হয়েছে। সোমবার (২২ এপ্রিল ২০১৯) বিকেল এ দুর্ঘটনা ঘটে। ,TRAFFIC
কক্সবাজারের চকরিয়ায় সড়ক দুর্ঘটনায় আতা ইলাহী নামে এক উন্নয়নকর্মী নিহত হয়েছেন। সোমবার (২২ এপ্রিল ২০১৯) বিকেলে এ দুর্ঘটনা ঘটে।,TRAFFIC
কিশোরগঞ্জের পাকুন্দিয়ায় যাত্রাবাহী একটি বাসচাপায় মাইন উদ্দিন নামে এক পথচারীর মৃত্যু হয়েছে। সোমবার (২২ এপ্রিল ২০১৯) দুপুরে উপজেলার শ্রীরামদী এলাকায় এ দুর্ঘটনা ঘটে।,TRAFFIC
দিনাজপুরের চিরিরবন্দর উপজেলা ট্রাক্টর চাপায় সলিমউদ্দীন নামে এক এক বাইসাইকেলচালক নিহত হয়েছেন। সোমবার (২২ এপ্রিল ২০১৯) সকাল ৯টায় চিরিরবন্দর উপজেলার ঘুঘুরাতলীতে এ দুর্ঘটনা ঘটে।,TRAFFIC
ঝিনাইদহে সড়ক দুর্ঘটনায় সানজিদা মোস্তফা সুমি খাতুন নামে এক নারীর মৃত্যু হয়েছে। সোমবার (২২ এপ্রিল ২০১৯) দুপুরে জেলা শহরের ক্যাডেট কলেজের সামনে এ দুর্ঘটনা ঘটে।,TRAFFIC
সিরাজগঞ্জে সড়ক দূর্ঘটনায় আহত স্কুল শিক্ষক। সোমবার (১৫ এপ্রিল ২০১৯) সন্ধ্যায় বঙ্গবন্ধু সেতু পশ্চিম সংযোগ মহাসড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
কিশোরগঞ্জের কটিয়াদী উপজেলায় সড়ক দুর্ঘটনায় মো. তারেক মিয়া নামে এক এইচএসসি পরীক্ষার্থীর মৃত্যু হয়েছে। শনিবার (২০ এপ্রিল ২০১৯) বিকেলে এ দুর্ঘটনা ঘটে।,TRAFFIC
ময়মনসিংহে ট্রাক চাপায় ২ অটোরিকশার ৪ যাত্রী নিহত। শনিবার (২০ এপ্রিল ২০১৯) বেলা ১১টার দিকে শম্ভুগঞ্জ-আলালপুর গ্রামে ময়মনসিংহ-শেরপুর সড়কে হতাহতের এ ঘটনা ঘটে।,TRAFFIC
দিনাজপুরের পার্বতীপুর উপজেলায় ট্রলিচাপায় সামিউল হক  নামে একজন নিহত হয়েছেন। শনিবার (২০ এপ্রিল ২০১৯) সকাল সাড়ে ১০টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
কুষ্টিয়ায় পৃথক সড়ক দুর্ঘটনায় দুইজন নিহত হয়েছেন। শনিবার (২০ এপ্রিল ২০১৯) সকালে কুষ্টিয়াতে এ দুর্ঘটনা ঘটে।,TRAFFIC
ক্সবাজারের দোহাজারীতে ট্রাক পিকঅ্যাপের চাপায় নিহত ১। শনিবার (২০ এপ্রিল ২০১৯) সকালে দোহাজারী বাজারে এ দুর্ঘটনা ঘটে।,TRAFFIC
গাজীপুরে কাভার্ড ভ্যান অটোরিকশার মুখোমুখি সংঘর্ষে নিহত ১ ও আহত ৫। শনিবার (২০ এপ্রিল ২০১৯) বিকেল ৩টার দিকে ঢাকা বাইপাস সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
কক্সবাজারের টেকনাফ উপজেলায় মোটরসাইকেল-ম্যাজিক গাড়ির মুখোমুখি সংঘর্ষে দুইজন নিহত হয়েছেন। শুক্রবার (১৯ এপ্রিল ২০১৯) দুপুরে উপজেলার হ্নীলায় এ দুর্ঘটনা ঘটে।,TRAFFIC
সিরাজগঞ্জের সয়দাবাদ ও সলঙ্গায় পৃথক সড়ক দুর্ঘটনায় নারীসহ দুইজন নিহত হয়েছেন। শুক্রবার (১৯ এপ্রিল) বিকেলে (১৯ এপ্রিল ২০১৯) এ দুর্ঘটনা ঘটে।,TRAFFIC
বাগেরহাটে সড়ক দুর্ঘটনায় সঞ্জয় কুমার সাহা নামে এক মোটরসাইকেল আরোহী নিহত হয়েছেন। শুক্রবার বিকেলে (১৯ এপ্রিল ২০১৯) এ দুর্ঘটনা ঘটে।,TRAFFIC
দিনাজপুরে বাসের ধাক্কায় নিহত ৩। বৃহস্পতিবার (১৮ এপ্রিল ২০১৯)  সকাল ১০টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
সড়ক দূর্ঘটনায় অভিনেত্রী স্পর্শিয়া  আহত। মঙ্গলবার রাতে (১৬ এপ্রিল ২০১৯) এ দুর্ঘটনা ঘটে।,TRAFFIC
মাদারীপুরের রাজৈর উপজেলায় মোটরসাইকেলের ধাক্কায় অজ্ঞাতপরিচয় এক পথচারী নিহত হয়েছেন।,TRAFFIC
ফরিদপুরের নগরকান্দা উপজেলায় বাসের চাপায় এক পথচারী নিহত হয়েছেন। সোমবার  (১৫ এপ্রিল ২০১৯)  সকাল সোয়া ১০টার দিকে উপজেলার তালমা ইউনিয়নের শিলাবাড়ির মোড় এলাকায় তালমা-চাঁদহাট সড়কে এ দুর্ঘটনা ঘটে।,TRAFFIC
বন্ধুর সঙ্গে সাইকেলে চড়ে মেলায় যাওয়ার পথে চট্টগ্রামে বাসের ধাক্কায় এক স্কুলছাত্র নিহত হয়েছে।,TRAFFIC
চট্টগ্রামে ট্রাকের ধাক্কায় মোটরসাইকেল আরোহী নিহত।,TRAFFIC
ঝিনাইদহ সদর উপজেলার খড়িখালী এলাকায় সড়ক দুর্ঘটনায় একজন নিহত হয়েছেন। শনিবার (১৩ এপ্রিল ২০১৯) সকালে এ দুর্ঘটনা ঘটে।,TRAFFIC
রাজবাড়ীতে ট্রাকের ধাক্কায় অটোরিকশা চালক নিহত। শনিবার (১৩ এপ্রিল ২০১৯) সকাল ৮টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
নারায়ণগঞ্জে কাভার্ড ভ্যান চাপায় এসআই নিহত। শুক্রবার (১২ এপ্রিল ২০১৯) সকালে ঢাকা-চট্টগ্রাম মহাসড়কের বন্দরে এ দুর্ঘটনা ঘটে।,TRAFFIC
মেহেরপুরের গাংনী উপজেলায় ট্রাকচাপায় সিদ্দিকুর রহমান (৬৫) নামে এক ব্যক্তি নিহত হয়েছেন। শুক্রবার (১২ এপ্রিল ২০১৯) সকাল সাড়ে ১০টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
হবিগঞ্জে ট্রাকের ধাক্কায় ব্যবসায়ী নিহত। শুক্রবার (১২ এপ্রিল ২০১৯) দুপুরে শায়েস্তাগঞ্জ থানার সামনে এ দুর্ঘটনা ঘটে।,TRAFFIC
বরগুনার পাথরঘাটা উপজেলায় মোটরসাইকেলের ধাক্কায় যদুনাথ কীর্ত্তনীয়া নামে এক ব্যক্তি নিহত হয়েছেন। শুক্রবার (১২ এপ্রিল ২০১৯) দুপুর আড়াইটার দিকে কালমেঘা ইউনিয়নে কাঞ্চুরহাট ও কালমেঘা বাজারের মধ্যবর্তী স্থানে এ দুর্ঘটনা ঘটে।,TRAFFIC
চট্টগ্রামে গাড়ি চাপায় ১ জনের মৃত্যু। বৃহস্পতিবার (১১ এপ্রিল ২০১৯) সকালে এ দুর্ঘটনা ঘটে।,TRAFFIC
মাদারীপুরে ট্রাকে ধাক্কা দিয়ে ২ বাইক আরেহীর মৃত্যু। বুধবার(১০ এপ্রিল ২০১৯)  রাত সাড়ে ১১টার দিকে এ দুর্ঘটনা ঘটে।,TRAFFIC
